text,aspect,sentiment,source,source_row_id
berbayar untuk baca berita,Langganan (Subscription & Pricing),Netral,original,2
berita up to date,Kualitas Konten,Positif,original,4
"terpercaya beritanya, terstandarkan diksinya.",Kualitas Konten,Positif,original,6
Beritanya dapat di percaya,Kualitas Konten,Positif,original,8
Kurang berani kritik pemerintah,Kualitas Konten,Negatif,original,10
Sangat up to date,Kualitas Konten,Positif,original,11
"Bintang 1, Kurang update",Kualitas Konten,Negatif,original,13
berita aktual dan akurat,Kualitas Konten,Positif,original,14
laporan berita nya bagus,Kualitas Konten,Positif,original,15
Mulai ga netral ini.,Kualitas Konten,Negatif,original,19
Aku beli premium. Puas,Langganan (Subscription & Pricing),Positif,original,20
"jurnalisme berkualitas, ya Kompas",Kualitas Konten,Positif,original,21
informatif & inspiratif. KEREN,Kualitas Konten,Positif,original,23
Jurnalis Lokal Kualitas Internasional....,Kualitas Konten,Positif,original,24
susah pembayaran untuk berlangganan,Langganan (Subscription & Pricing),Negatif,original,25
video tidak bisa diputar,Performa (Technical & Access),Negatif,original,26
Berita aktual. Mantap pokoknya.,Kualitas Konten,Positif,original,27
Nyimak berita terbaru update....👍👍,Kualitas Konten,Positif,original,29
tidak bisa di buka,Performa (Technical & Access),Negatif,original,30
"lebih akurat, tepat topik",Kualitas Konten,Positif,original,32
berita aktual dan terpercaya,Kualitas Konten,Positif,original,33
Lancar jaya dan lengkap..,Kualitas Konten,Positif,original,35
nyaman dan enak dibaca,Tampilan (UI/UX),Positif,original,37
sangat informatif dan tuntas,Kualitas Konten,Positif,original,39
Informasi akurat dan berkualitas.,Kualitas Konten,Positif,original,40
Jurnalisme mendalam dan profesional,Kualitas Konten,Positif,original,41
Menyenangkan lho berlangganan Kompas,Langganan (Subscription & Pricing),Positif,original,42
"Berita terbaik,khusus saya peribadi",Kualitas Konten,Positif,original,43
Koran digital yang revolusioner,Kualitas Konten,Positif,original,44
bagus ga banyak iklan...,Langganan (Subscription & Pricing),Positif,original,45
tak rama sama kantong..,Langganan (Subscription & Pricing),Negatif,original,47
informasi yg ter update,Kualitas Konten,Positif,original,48
Terimakasih sudah diperbaiki kinerjanya,Performa (Technical & Access),Positif,original,50
Sering rasis..TDK Sesuai fakta,Kualitas Konten,Negatif,original,53
bagus dan komplit beritanys,Kualitas Konten,Positif,original,59
berita terbaru dan terpercaya,Kualitas Konten,Positif,original,60
ok bgt berita nya,Kualitas Konten,Positif,original,61
Media yg tidak independen,Kualitas Konten,Negatif,original,62
Kompas jangan jadi kompor,Kualitas Konten,Netral,original,63
Credible...beritanya mendalam. Banyak analisisnya,Kualitas Konten,Positif,original,66
Berita no.1 di Indo,Kualitas Konten,Positif,original,69
Berita2nya akurat dan lengkap,Kualitas Konten,Positif,original,73
"Sangat update, terima kasih",Kualitas Konten,Positif,original,74
Jelek tidak bisa konek,Performa (Technical & Access),Negatif,original,75
Sangat jelek tidak mendidik...,Kualitas Konten,Negatif,original,77
Banyak iklan daripada berita!,Tampilan (UI/UX),Negatif,original,78
Kompas memberi informasi baik,Kualitas Konten,Positif,original,80
Bisa cepat mengetahui berita,Kualitas Konten,Positif,original,81
Berita selali U apdet,Kualitas Konten,Positif,original,82
"Pasti,aktual dan terpercaya.Terima Kasih.",Kualitas Konten,Positif,original,85
Akurat dan berimbang 👍⭐⭐⭐⭐⭐,Kualitas Konten,Positif,original,86
Voucher nggak bisa dipakai,Langganan (Subscription & Pricing),Negatif,original,87
"Akurat, independen dan akuntable",Kualitas Konten,Positif,original,88
Salah satu referensi terpercaya,Kualitas Konten,Positif,original,89
Jadilah media yang kredibel,Kualitas Konten,Netral,original,91
Media informasi yg terbaik,Kualitas Konten,Positif,original,93
Dapat mengikuti berita-berita terkini,Kualitas Konten,Positif,original,94
Cukup memuaskan dengan beritanya,Kualitas Konten,Positif,original,96
"kompat akurat,padat dn terpercaya",Kualitas Konten,Positif,original,97
kompas berita kurang terupdate,Kualitas Konten,Negatif,original,98
Kompas beritanya dapat dipercaya.,Kualitas Konten,Positif,original,99
Tidak bisa memutar suara,Performa (Technical & Access),Negatif,original,102
banyak berita hoak palsu,Kualitas Konten,Negatif,original,103
Sy ingin berita gratis,Langganan (Subscription & Pricing),Netral,original,104
Berita up to date,Kualitas Konten,Positif,original,105
Semoga beritanya selalu update,Kualitas Konten,Netral,original,106
Berita Netral dan akurat,Kualitas Konten,Positif,original,108
it's work..promonya agar diperpanjang.,Langganan (Subscription & Pricing),Netral,original,111
Harian Kompas luar biasa,Kualitas Konten,Positif,original,112
Mantab... kontennya makin premium,Kualitas Konten,Positif,original,113
Beritanya terbaru dan terpercaya,Kualitas Konten,Positif,original,114
"Artikel-artikel berkualitas, harga murah.",Kualitas Konten,Positif,original,117
sering error. mohon diperbaiki,Performa (Technical & Access),Negatif,original,120
Belum bisa back menu,Performa (Technical & Access),Negatif,original,122
terimakasih sudah memberikan informasi ketika dmn yg lain hanya diam,Kualitas Konten,Positif,original,123
saat ini 6 juni 2026 pkl 10.00 wib sampai sekarang kenapa tidak bisa buka kompas ya ?,Performa (Technical & Access),Negatif,original,124
ga bisa baca berita kalo ga bayar,Langganan (Subscription & Pricing),Netral,original,125
aplikasi kikir jangan di download 😡,Langganan (Subscription & Pricing),Negatif,original,126
"Jelek bet, cuma buat buka berita harus bayar, gak jelas🤬🤬",Langganan (Subscription & Pricing),Negatif,original,127
lagi bermasalah ya aplikasinya? kok ga bisa login dan ga tampil di tiap rubrik berita2nya,Performa (Technical & Access),Negatif,original,129
"ga bisa di baca, lama loading nya",Performa (Technical & Access),Negatif,original,130
"Mencerdaskan, Tepercaya dan Memperluas Wawasan. 👍",Kualitas Konten,Positif,original,131
"enggk bisa di kliping ya, sedikit kecewa setelah kita dowload teryata enggk bisa di simpen ketika sudah tidak berlangganan",Fungsionalitas,Negatif,original,133
Aku lihat sih beritanya lengkap 😊😇🙏,Kualitas Konten,Positif,original,134
Saran.. supaya bisa kompas.id dibaca secara layar landscape,Tampilan (UI/UX),Netral,original,135
apa harus langganan untuk baca berita?,Langganan (Subscription & Pricing),Netral,original,136
Sering kelogout sendiri dan masuknya susah.,Performa (Technical & Access),Negatif,original,139
berita terbaik dari yang terbaik,Kualitas Konten,Positif,original,140
"Sangat enak dibaca nggak pake mikir, langsung dicerna",Kualitas Konten,Positif,original,141
saya selalu tertarik dengan tulisan tulisan orang hebat yg dimuat oleh kompas.id. faktual dan aktual.,Kualitas Konten,Positif,original,143
"Aktual, faktual, terpercaya, dan tidak memancing opini publik.",Kualitas Konten,Positif,original,144
"KECEWA BERLANGGANAN, seharusnya kompas biasa dan kompas .id gak perlu dipisah2 aksesnya. Bisa aja akal2in cari duitnya",Langganan (Subscription & Pricing),Negatif,original,145
Mohon untuk ada optimalisasi tampilan vertikal tab. Terimakasih,Tampilan (UI/UX),Negatif,original,146
"berita tidak update,, saya cari artikel tentang teknologi, berita yg mucul 3 bulan lalu",Kualitas Konten,Negatif,original,148
"aplikasi berita yang sangat menarik, interface yg sangat ringan dan bener2 bermanfaat bgt",Tampilan (UI/UX),Positif,original,149
"Kebanyakan iklan, beritanya ngak berlanjut hanya sepenggal",Tampilan (UI/UX),Negatif,original,150
"Kebanyakan iklan, beritanya ngak berlanjut hanya sepenggal",Langganan (Subscription & Pricing),Negatif,original,150
Saya baru berlangganan untuk setahun murah banget dengan harga 139.000 saja. Akhirnya saya bisa baca opini dengan leluasan,Langganan (Subscription & Pricing),Positif,original,152
Jangan download berita berbayar semua cari duit,Langganan (Subscription & Pricing),Negatif,original,153
Saya suka ini. kalau harganya tetap 100 ribu per tahun bakalan tetap langganan.,Langganan (Subscription & Pricing),Positif,original,154
Kompas tetap yang terbaik dan terpercaya,Kualitas Konten,Positif,original,155
di hp samsung epaper tidak bisa dibaca secara horosontal,Performa (Technical & Access),Negatif,original,156
next smoga ada pilihan suara g transate.. bosen cuman itu²,Fungsionalitas,Negatif,original,157
Bagus beritanya utk mengisi otak yg kosong.,Kualitas Konten,Positif,original,158
ada bagian tertentu yang tombol audionya gk keliatan kak,Tampilan (UI/UX),Negatif,original,159
"sangat mudah digunakan, berita mendalam",Tampilan (UI/UX),Positif,original,161
"sangat mudah digunakan, berita mendalam",Kualitas Konten,Positif,original,161
"Bernas, selalu peduli dengan masalah aktual dengan analisa yang mengedepankan nilai-nilai kemanusiaan.",Kualitas Konten,Positif,original,162
"Aplikasi sangat bagus, lengkap. CS sangat cepat dalam merespon. Terima kasih",Performa (Technical & Access),Positif,original,163
Kompas sebuah nama media cetak & elektronik yang tidak asing lagi pemberitaannya tajam terpercaya dan berimbang.,Kualitas Konten,Positif,original,164
Akses berita aktual dan terpercaya dari Kompas,Kualitas Konten,Positif,original,165
"Lebih update dengan isu-isu aktual. Keren sih. Tampilannya juga enak, easy reading lah",Tampilan (UI/UX),Positif,original,166
"Lebih update dengan isu-isu aktual. Keren sih. Tampilannya juga enak, easy reading lah",Kualitas Konten,Positif,original,166
informasi yg mantab terpercaya mendidik masa depan kita,Kualitas Konten,Positif,original,168
cerdas menyikapi peristiwa dengan sumber referensi terpercaya,Kualitas Konten,Positif,original,169
"ok baru nyoba... isi berita nya bagus, berkualitas. aplikasi nya nyaman digunakan, user friendly.",Tampilan (UI/UX),Positif,original,171
"ok baru nyoba... isi berita nya bagus, berkualitas. aplikasi nya nyaman digunakan, user friendly.",Kualitas Konten,Positif,original,171
"kompas independen dan terpercaya ,",Kualitas Konten,Positif,original,174
"waktu yang menyenangkan, bacaan bagus, koran terbaik",Kualitas Konten,Positif,original,175
Kompas.id menyajikan berita yg up to date dan terpercaya.,Kualitas Konten,Positif,original,176
"perlu perbaikan perihal menampilkan gambar pada artikel. jika di zoom, seringkali malah pindah ke gambar berikutnya.",Performa (Technical & Access),Negatif,original,177
"Kebanyakan bug, artikel suka balik sendiri ke awal menu. CS nya sama sekali tdk kooperatif. Sdh kayak paling bener aja.",Performa (Technical & Access),Negatif,original,178
Kok aku nggak bisa mendownload koran kompas ?,Performa (Technical & Access),Negatif,original,179
"Keren, bahkan ada audionya kalau kita pengen denger berita saat gak pegang smartphone.",Fungsionalitas,Positif,original,180
Selalu menikmati membaca berita di kompas.id karena berita yang disajikan update dan akurat,Kualitas Konten,Positif,original,181
segala pakai berbayar buat baca berita aja.di buat gratis aja baca berita nya. biar masyarakat Indonesia semua gemar membaca.,Langganan (Subscription & Pricing),Negatif,original,184
Infonya gk akuat. Malu2 in aja,Kualitas Konten,Negatif,original,185
berita yang cepat dan bisa di percaya,Kualitas Konten,Positif,original,188
Belum bisa dikatakan netral dalam hal pemberitaan. masih keberpihakan sebelah. itu intinya.,Kualitas Konten,Negatif,original,189
"sangat membantu untuk mengupdate berita terkini, sayang nya harus berlangganan",Langganan (Subscription & Pricing),Negatif,original,190
"sangat membantu untuk mengupdate berita terkini, sayang nya harus berlangganan",Kualitas Konten,Positif,original,190
Ulasannya bagus manambah pengalaman bagi kita,Kualitas Konten,Positif,original,191
interface halamannya enak dibaca dan suka dengan fitur text to speech,Tampilan (UI/UX),Positif,original,192
interface halamannya enak dibaca dan suka dengan fitur text to speech,Fungsionalitas,Positif,original,192
Permis mau bertny apakah bisa print ya koran e paapernya,Fungsionalitas,Netral,original,194
terbaik untuk mencari update berita,Kualitas Konten,Positif,original,195
"Kalau boleh saran,seharusnya kalau kami mau membaca buku/artikel tidak usah berbayar,supaya orang yang ingin berliterasi tidak harus ada hambatan",Langganan (Subscription & Pricing),Netral,original,196
"Up date kok,meski 5 W dan I H layak terus di jadikan ajangNya",Kualitas Konten,Positif,original,197
Jelas dan bagus untuk berita,Kualitas Konten,Positif,original,198
Berhubung saya harus bayar setengah juta saya hapus,Langganan (Subscription & Pricing),Negatif,original,200
"di bagian fotografi kenapa gak dipisahkan foto cerita, galeri foto dan klinik foto..? seperti di web, lebih enak..",Tampilan (UI/UX),Negatif,original,205
Makin keren dengan berita tepercaya dan bisa diandalkan,Kualitas Konten,Positif,original,206
"ada format koran cetak, sangat menarik",Fungsionalitas,Positif,original,207
"DL cepat, simpel buat bacaan harian dimana saja bisa dilakukan",Performa (Technical & Access),Positif,original,209
berita-beritanya sangat update dan faktual disertai data-data yg sangat akurat....ulasannya menarik dan mendalam...,Kualitas Konten,Positif,original,210
Kompas sangat bagus beri infor Masi,Kualitas Konten,Positif,original,211
"Jurnalisme bermutu dan kritis, mantap, maju terus KOMPAS.",Kualitas Konten,Positif,original,213
Menyajikan berita secara faktual dan aktual.,Kualitas Konten,Positif,original,214
aplikasinya sangat bagus dan efisien dalam memberikan informasi dari dalam dan luar negeri,Kualitas Konten,Positif,original,215
"Tercepat, akurat, dan terdepan 👉",Kualitas Konten,Positif,original,216
"Terlalu mahal, perbulan 50k, mending beli quota cuma 20k",Langganan (Subscription & Pricing),Negatif,original,217
memuat berita berta yang akurat,Kualitas Konten,Positif,original,218
Media yg baik dan objektif,Kualitas Konten,Positif,original,219
kompas sangat memperbarui pengetahuan 👍,Kualitas Konten,Positif,original,220
"Kompas menyajikan berita aktual, tajam terpercaya, Bravo Kompas🙏",Kualitas Konten,Positif,original,221
berita terupdate sehingga menjadi sumber informasi yang akurat dalam mendapatkan informasi dan berita terbaru.,Kualitas Konten,Positif,original,222
Terimakasih untuk informasi yang selalu valid kompas..,Kualitas Konten,Positif,original,224
kompas termasuk media yang memberikan informasi terpercaya,Kualitas Konten,Positif,original,225
"Baru mulai berlangganan, tampilan aplikasi lumayan bagus",Tampilan (UI/UX),Positif,original,226
fitur2nya sangat mudah dipahami bagi awam.,Tampilan (UI/UX),Positif,original,227
Berita nya kok gk lengkap,Kualitas Konten,Negatif,original,228
berita yang sangat akurat dan independen,Kualitas Konten,Positif,original,229
"Untuk news sudah bagus sekali, di harapkan supaya aplikasi ini bisa di baca gratis.",Langganan (Subscription & Pricing),Netral,original,231
"Untuk news sudah bagus sekali, di harapkan supaya aplikasi ini bisa di baca gratis.",Kualitas Konten,Positif,original,231
liputan nasional nya update dan bagus .,Kualitas Konten,Positif,original,232
"Uninstall, mau baca aja disuruh langganan. Masih ada situs berita online yang gratis.",Langganan (Subscription & Pricing),Negatif,original,234
"Tampilan sangat enak dibaca, hanya saja mesin pencarian berita bisa lebih baik. Tidak ada filter untuk mengetahui berita paling populer/terbaru.",Tampilan (UI/UX),Positif,original,236
"Tampilan sangat enak dibaca, hanya saja mesin pencarian berita bisa lebih baik. Tidak ada filter untuk mengetahui berita paling populer/terbaru.",Fungsionalitas,Netral,original,236
Bisa baca berita tanpa diganggu iklan,Langganan (Subscription & Pricing),Positif,original,238
sangat bermanfaat... semoga berita update terus setiap saat..,Kualitas Konten,Positif,original,239
"Kompas adalah media informasi terbaik menurut saya, saya membacanya sejak dari koran, sekarang online media, informasi terbaik mantap terpercaya.",Kualitas Konten,Positif,original,240
Beritanya lengkap dan up to date,Kualitas Konten,Positif,original,242
Terpercaya dan terdepan dalam penyampaian berita.,Kualitas Konten,Positif,original,243
Beritanya sangat akurat lugas & dg bahasanya sangat di pahami semua kalangan👍🏽,Kualitas Konten,Positif,original,244
keren mudah dimengerti bahasa beritanya,Kualitas Konten,Positif,original,245
Memnberikan informasi cepat dan akurat,Kualitas Konten,Positif,original,246
