,UI/UX,Functionality,Subscription & Pricing,Content Quality,Rating,Komentar,Technical & Access
0,,,,,3.0,Bintang. :3. Score :7,
1,,,,,5.0,kompas is the best,
2,,,0.0,,4.0,berbayar untuk baca berita,
3,,,,,5.0,Kenapa malah ada iklanya...,
4,,,,1.0,5.0,berita up to date,
5,,,,,5.0,perlu pengetahuan & pengalaman.,
6,,,,1.0,5.0,"terpercaya beritanya, terstandarkan diksinya.",
7,,,,,5.0,panjang umur jurnalisme 🔥,
8,,,,1.0,5.0,Beritanya dapat di percaya,
9,,,,,4.0,Suka hobi baca sy,
10,,,,-1.0,5.0,Kurang berani kritik pemerintah,
11,,,,1.0,5.0,Sangat up to date,
12,,,,,5.0,berita yang sangat penting,
13,,,,-1.0,1.0,"Bintang 1, Kurang update",
14,,,,1.0,5.0,berita aktual dan akurat,
15,,,,1.0,5.0,laporan berita nya bagus,
16,,,,,4.0,smoga terus memberi informasi,
17,,,,,5.0,"bagus. banyaklah membaca, ya.",
18,,,,,5.0,membantu pengetahuan dan perkembangan...,
19,,,,-1.0,1.0,Mulai ga netral ini.,
20,,,1.0,,4.0,Aku beli premium. Puas,
21,,,,1.0,5.0,"jurnalisme berkualitas, ya Kompas",
22,,,,,5.0,S balacewarma janggelan sekian,
23,,,,1.0,5.0,informatif & inspiratif. KEREN,
24,,,,1.0,5.0,Jurnalis Lokal Kualitas Internasional....,
25,,,-1.0,,1.0,susah pembayaran untuk berlangganan,
26,,,,,2.0,video tidak bisa diputar,-1.0
27,,,,1.0,5.0,Berita aktual. Mantap pokoknya.,
28,,,,,1.0,Mengikuti inf. Kompas selengkapnja,
29,,,,1.0,5.0,Nyimak berita terbaru update....👍👍,
30,,,,,1.0,tidak bisa di buka,-1.0
31,,,,,5.0,Kompas tetap mantap .,
32,,,,1.0,5.0,"lebih akurat, tepat topik",
33,,,,1.0,5.0,berita aktual dan terpercaya,
34,,,,,5.0,kompas is the best,
35,,,,1.0,5.0,Lancar jaya dan lengkap..,
36,,,,,5.0,Bru coba btg 5,
37,1.0,,,,5.0,nyaman dan enak dibaca,
38,,,,,4.0,sangat membantu informasi masyarakat.,
39,,,,1.0,5.0,sangat informatif dan tuntas,
40,,,,1.0,5.0,Informasi akurat dan berkualitas.,
41,,,,1.0,5.0,Jurnalisme mendalam dan profesional,
42,,,1.0,,5.0,Menyenangkan lho berlangganan Kompas,
43,,,,1.0,5.0,"Berita terbaik,khusus saya peribadi",
44,,,,1.0,5.0,Koran digital yang revolusioner,
45,,,1.0,,5.0,bagus ga banyak iklan...,
46,,,,,5.0,sangat Bagus dan keren,
47,,,-1.0,,1.0,tak rama sama kantong..,
48,,,,1.0,5.0,informasi yg ter update,
49,,,,,5.0,I love kompas id....,
50,,,,,4.0,Terimakasih sudah diperbaiki kinerjanya,1.0
51,,,,,5.0,Saya suka apps nya,
52,,,,,5.0,Paling bagus sekali Waooo,
53,,,,-1.0,1.0,Sering rasis..TDK Sesuai fakta,
54,,,,,1.0,Sangat penting membaca berita,
55,,,,,5.0,platform digital yg mumpuni,
56,,,,,5.0,kompas bagus sekali bagus,
57,,,,,5.0,Semoga akurat dan bermanfaat,
58,,,,,5.0,I like it forever,
59,,,,1.0,5.0,bagus dan komplit beritanys,
60,,,,1.0,5.0,berita terbaru dan terpercaya,
61,,,,1.0,5.0,ok bgt berita nya,
62,,,,-1.0,1.0,Media yg tidak independen,
