Komentar,UI/UX,Functionality,Subscription & Pricing,Content Quality,Technical & Access
"1. Kenapa di aplikasi perlu download e-paper baru bisa dibaca, sedangkan di browser bisa langsung baca tanpa download? Tidak setiap waktu & semua orang mau/bisa download. Jangan skill issue.

2. Tolong aktifkan fitur rotate phone/baca secara landscape! Koran itu luas, buat apa ada 2-page view ketika baca koran tapi ga bisa baca secara landscape?",0.0,-1.0,,,
"Admin sangat responsif membantu, awalnya aplikasi ga bisa dibuka padahal sudah berlangganan, tapi dipandu dengan baik lewat WA dan sekarang alhamdulillah bisa akses lancar tanpa masalah, sukses terus Kompas.",,,,,1.0
"Admin-nya super responsif banget, awalnya login bermasalah padahal udah bayar, tapi langsung dibantu via WA dan sekarang lancar jaya akses aplikasinya, makasih Kompas!",,,,,1.0
"Admin-nya super responsif banget, awalnya login saya bermasalah padahal udah bayar, tapi langsung dibantu via wa dengan detail, sekarang alhamdulillah akses lancar tanpa hambatan, thanks Kompas!",,,,,1.0
Agak nge lag gitu ya,,,,,-1.0
"Akhirnya, koran bersejarah Indonesia hadir di iPad. Versi terbaru ini masih agak tidak stabil (kadang crash saat berpindah tab), tapi secara keseluruhan aplikasi yang bagus. Andai ada nomor halaman di semua tampilan tab supaya kita tahu harus scroll ke mana untuk pindah halaman, itu akan sangat membantu.",0.0,,,,-1.0
Akses aplikasi pakai google account sangat lancar dan ga perlu verifikasi berkali-kali,,,,,1.0
"Akses login via Google lancar banget, ga perlu verifikasi berkali-kali",,,,,1.0
"Akses pakai akun google sangat lancar, ga perlu verifikasi berkali-kali",,,,,1.0
Akses premium langsung bisa digunakan segera setelah pembayaran berhasil diproses tanpa delay,,,,,1.0
Aktivasi akun premium berjalan lancar dan langsung bisa digunakan setelah pembayaran berhasil diproses.,,,,,1.0
"Akun saya gabisa login padahal masih aktif berlangganan, udah hubungi cs berkali-kali tapi masalahnya ga diperbaiki sama sekali. Kecewa bgt.",,,,,-1.0
"Akun sinkron dengan mulus antara web dan aplikasi, ga ada masalah sama sekali.",,,,,1.0
"Alhamdulillah sekarang login lancar, bug yang bikin repot udah diperbaiki, makasih Kompas ID!",,,,,1.0
"Alhamdulillah setelah update terakhir tanggal 4 Juli, aplikasi sudah bisa diakses dengan normal lagi dan e-paper bisa dibaca lancar tanpa error login. Terima kasih tim support yang cepat merespons dan memperbaiki masalahnya 👍",,,,,1.0
"Alhamdulillah setelah update terakhir tanggal 4 juli, aplikasi sudah bisa diakses normal kembali dan e-paper lancar dibaca. Meski sempat ada kendala akses sebelumnya, tim support kompas cepat merespons dan memperbaikinya. Terima kasih sudah dengarkan feedback pengguna 👍",,,,,1.0
"Alhamdulillah setelah update terakhir tanggal 4 juli, fitur e-paper sudah bisa diakses normal lagi tanpa error login berulang, meski sempat bermasalah sebelumnya. Terima kasih tim Kompas.id atas perbaikannya!",,,,,1.0
"Analisisnya kurang mendalam bgt, liputan kompas cuma sekadar berita permukaan aja tanpa penggalian lebih lanjut",,,,-1.0,
Anda bisa mendapatkan berita terkini dari Kompas Daily di Kompas.id. Aplikasi yang direkomendasikan.,,,,1.0,
"Aneh banget, udah diunduh tapi tetap harus online. Padahal mau baca e-paper di pesawat aja ga bisa offline.",,-1.0,,,
"Antarmuka Kompas.id dirancang dengan sangat nyaman, bikin betah baca berita setiap hari.",1.0,,,,
"Antarmuka Kompas.id rapi dan terstruktur dengan baik, bikin mata ga lelah saat membaca.",1.0,,,,
"Antarmuka aplikasi ini benar-benar enak dipandang, terutama tanpa iklan yang mengganggu, dan desainnya yang bersih bikin mata ga lelah saat baca berita lama-lama dibanding versi gratis yang penuh banner.",1.0,,,,
"Antarmuka aplikasi ini sangat intuitif dan nyaman digunakan, navigasinya jelas dan tidak membingungkan sama sekali.",1.0,,,,
"Antarmuka aplikasi ini sangat nyaman dipandang dan enak untuk dibaca beritanya, desainnya bersih dan tidak membingungkan.",1.0,,,,
Antarmuka aplikasinya cukup menarik dan nyaman dipandang saat dibuka,1.0,,,,
"Antarmuka aplikasinya dirancang dengan rapi, bikin pengguna baru gampang beradaptasi tanpa kebingungan.",1.0,,,,
Antarmuka artikel sangat bersih dan nyaman untuk dibaca dalam waktu lama.,1.0,,,,
Antarmuka yang rapi dan bebas iklan bikin konsentrasi baca jadi terjaga dengan baik.,1.0,,,,
"Antarmukanya intuitif dan enak dipandang, navigasi lancar bikin browsing berita jadi nyaman bgt.",1.0,,,,
"Antarmukanya intuitif dan nyaman digunakan, semoga terus disempurnakan.",1.0,,,,
"Antarmukanya rapi dan nyaman dibaca, navigasinya juga lancar bgt, jadi enak digunakan sehari-hari.",1.0,,,,
"Antarmukanya rapi dan sophisticated, cocok banget sama identitas media berita ternama.",1.0,,,,
"Antarmukanya super clean dan user-friendly, navigasinya lancar banget, bisa baca berita atau pake fitur text-to-speech, plus e-paper nya juga rapi, totally worth it deh!",1.0,,,,
Antarmukanya user-friendly dan gampang dipelajari bahkan untuk pemula.,1.0,,,,
"Apakah Kompas.id bisa tersedia di Windows Store? Lebih mudah diakses dari PC, Laptop, dan Tablet dibanding HP. Ditunggu peluncurannya di platform tersebut.",,,,,0.0
Apakah ada cara untuk membatalkan langganan kompas id melalui aplikasi iphone?,,,0.0,,
Apakah ada cara untuk memperpanjang langganan kompas id?,,,0.0,,
Apakah ada cara untuk menukarkan kode promo kompas id di aplikasi ini,,,0.0,,
Apakah ada diskon khusus atau paket langganan yang lebih terjangkau untuk mahasiswa?,,,0.0,,
Apakah ada fitur arsip untuk mengakses edisi e-paper yang sudah terbit sebelumnya di kompas id,,0.0,,,
Apakah ada fitur download artikel untuk dibaca offline tanpa harus berlangganan dulu?,,0.0,,,
Apakah ada fitur print untuk e-paper agar bisa dicetak langsung dari aplikasi,,0.0,,,
Apakah ada fitur untuk membaca berita secara offline tanpa perlu berlangganan terlebih dahulu?,,0.0,,,
Apakah ada fitur untuk membagikan artikel langsung ke WhatsApp hanya dengan satu klik?,,0.0,,,
"Apakah ada fitur untuk mengakses arsip berita lama hingga puluhan tahun ke belakang, dan apakah tampilan app bisa menyesuaikan ke mode horizontal saat hp diputar?",,0.0,,,
"Apakah ada fitur untuk mengakses edisi arsip Kompas dari tahun-tahun sebelumnya, misalnya hingga 10 tahun lalu? Selain itu, mohon dipertimbangkan agar tampilan aplikasi bisa berorientasi landscape ketika hp diputar horizontal, seperti fitur di aplikasi pembaca e-book lainnya. Terima kasih.",,0.0,,,
"Apakah ada fitur untuk mengunduh e-paper dalam format PDF? Dulu bisa dilakukan tapi sekarang tidak menemukan opsinya, mohon dijelaskan caranya atau tambahkan kembali fitur tersebut untuk keperluan kliping digital saya sebagai pelanggan berbayar.",,0.0,,,
"Apakah ada fitur untuk mengunduh e-paper langsung ke format PDF? Dulu aplikasi lama bisa dilakukan tapi sekarang tidak menemukan opsi tersebut, mohon dijelaskan cara mengaksesnya atau pertimbangkan untuk menambahkan fitur ini kembali mengingat saya pengguna berbayar dan memerlukan e-paper dalam format yang bisa disimpan untuk keperluan dokumentasi.",,0.0,,,
Apakah ada fitur untuk menyesuaikan spasi baris pada teks bacaan,0.0,,,,
Apakah ada fitur untuk menyimpan artikel offline agar tetap bisa dibaca tanpa koneksi internet,,0.0,,,
Apakah ada fitur untuk menyimpan artikel yang sudah diunduh agar tidak perlu download ulang setiap kali membuka aplikasi?,,0.0,,,
Apakah ada fitur untuk print e-paper koran langsung dari aplikasi ini?,,0.0,,,
Apakah ada free trial minimal beberapa hari biar bisa coba dulu sebelum berlangganan?,,,0.0,,
Apakah ada jadwal rutin untuk promo paket berlangganan kompas id,,,0.0,,
Apakah ada kemungkinan fitur orientasi landscape bisa ditambahkan untuk pengalaman membaca di iPhone?,0.0,,,,
Apakah ada kemungkinan kompas.id menyediakan akses gratis atau trial untuk pengguna android?,,,0.0,,
Apakah ada kemungkinan konten kompas bisa diakses gratis melalui aplikasi android?,,,0.0,,
Apakah ada kemungkinan untuk membaca artikel kompas di android tanpa perlu berlangganan berbayar,,,0.0,,
Apakah ada kemungkinan untuk membaca artikel tanpa harus berlangganan berbayar?,,,0.0,,
"Apakah ada kemungkinan untuk membaca artikel tanpa perlu berlangganan berbayar, agar semua orang bisa mengakses konten dengan lebih mudah?",,,0.0,,
Apakah ada kemungkinan untuk membaca berita di aplikasi ini tanpa perlu berlangganan?,,,0.0,,
Apakah ada kemungkinan untuk membuka akses berita tanpa harus berlangganan premium terlebih dahulu?,,,0.0,,
"Apakah ada kemungkinan untuk menyediakan paket langganan gratis yang lebih banyak atau unlimited untuk pelajar dan mahasiswa, mengingat fitur gratis saat ini hanya tiga kali akses saja dan dirasa kurang memadai untuk kebutuhan mereka membaca berita.",,,0.0,,
Apakah ada menu untuk membatalkan langganan di aplikasi ini,,,0.0,,
Apakah ada opsi paket langganan yang lebih terjangkau atau alternatif lain selain membayar untuk akses berita premium di aplikasi ini?,,,0.0,,
Apakah ada opsi paket langganan yang lebih terjangkau untuk pembaca yang ingin akses konten premium tanpa beban biaya terlalu besar?,,,0.0,,
Apakah ada opsi pembayaran langganan selain transfer bank biasa?,,,0.0,,
Apakah ada opsi trial gratis sebelum berlangganan sesuai edisi hari ini,,,0.0,,
Apakah ada opsi untuk membaca berita tanpa perlu berlangganan berbayar?,,,0.0,,
Apakah ada opsi untuk mengatur frekuensi notifikasi breaking news agar tidak terlalu banyak,,0.0,,,
Apakah ada opsi untuk mengatur ukuran thumbnail gambar di halaman beranda aplikasi,0.0,,,,
Apakah ada opsi untuk mengubah tata letak halaman utama menjadi satu kolom?,0.0,,,,
Apakah ada opsi untuk mengubah tata letak konten menjadi satu kolom di halaman utama?,0.0,,,,
Apakah ada paket berlangganan yg harganya sekitar 50 ribu rupiah?,,,0.0,,
Apakah ada paket bundling yang menggabungkan kompas.id dengan produk kompas lainnya,,,0.0,,
Apakah ada paket langganan khusus untuk mahasiswa dengan harga lebih terjangkau?,,,0.0,,
Apakah ada paket langganan yang lebih terjangkau untuk coba-coba dulu sebelum berkomitmen jangka panjang?,,,0.0,,
Apakah ada pilihan metode pembayaran langganan selain transfer bank?,,,0.0,,
Apakah ada pilihan paket langganan yang bisa dibayar mingguan,,,0.0,,
"Apakah ada rencana untuk meluncurkan aplikasi ini di Windows Store? Saya lebih sering membaca di PC dan Tablet, jadi sangat ditunggu ketersediaan di platform tersebut.",,,,,0.0
Apakah ada rencana untuk membuat akses Kompas lebih lancar di perangkat Android dan tersedia gratis?,,,,,0.0
"Apakah aplikasi Kompas.id bisa tersedia di Windows Store? Lebih mudah diakses dari PC, Laptop, dan Tablet dibanding HP.",,,,,0.0
"Apakah aplikasi ini bisa tersedia di Windows Store? Lebih mudah diakses kalau ada di PC, Laptop, dan Tablet juga.",,,,,0.0
